scenario,hour,price,soc,charge,discharge
37,19,36.9,35.08222461109706,0.0,12.966908726687164
37,20,30.21,21.43284700405794,0.0,20.361204653855044
37,21,21.7,0.0,0.0,0.0
37,22,19.56,0.0,0.0,0.0
37,23,26.18,0.0,0.0,0.0
37,24,21.37,0.0,0.0,0.0
38,1,22.31,0.0,0.0,0.0
38,2,17.9,0.0,0.0,0.0
38,3,18.18,0.0,0.0,0.0
38,4,17.64,0.0,15.263157894736842,0.0
38,5,17.42,14.5,30.0,0.0
38,6,16.05,43.0,30.0,0.0
38,7,16.52,71.5,30.0,0.0
38,8,17.36,100.0,0.0,0.0
38,9,17.76,100.0,0.0,0.0
38,10,19.15,100.0,0.0,0.0
38,11,19.2,100.0,0.0,0.0
38,12,23.25,100.0,0.0,0.0
38,13,21.13,100.0,0.0,0.0
38,14,23.37,100.0,0.0,0.0
38,15,-63.04,100.0,0.0,30.0
38,16,253.92,68.42105263157895,0.0,9.090622904148587
38,17,541.06,58.85197589036991,0.0,8.302643915244703
38,18,-42.31,50.11235071642811,0.0,14.278619800064495
38,19,20.84,35.08222461109706,0.0,12.966908726687164
38,20,39.62,21.43284700405794,0.0,20.361204653855044
38,21,32.57,0.0,0.0,0.0
38,22,26.98,0.0,0.0,0.0
38,23,32.24,0.0,0.0,0.0
38,24,26.77,0.0,0.0,0.0
39,1,16.89,0.0,0.0,0.0
39,2,16.74,0.0,0.0,0.0
39,3,16.46,0.0,0.0,0.0
39,4,15.36,0.0,15.263157894736842,0.0
39,5,14.7,14.5,30.0,0.0
39,6,13.01,43.0,30.0,0.0
39,7,14.31,71.5,30.0,0.0
39,8,16.71,100.0,0.0,0.0
39,9,17.12,100.0,0.0,0.0
39,10,18.09,100.0,0.0,0.0
39,11,20.13,100.0,0.0,0.0
39,12,27.24,100.0,0.0,0.0
39,13,33.01,100.0,0.0,0.0
39,14,46.41,100.0,0.0,0.0
39,15,29.62,100.0,0.0,30.0
39,16,35.82,68.42105263157895,0.0,9.090622904148587
39,17,33.73,58.85197589036991,0.0,8.302643915244703
39,18,51.5,50.11235071642811,0.0,14.278619800064495
39,19,44.72,35.08222461109706,0.0,12.966908726687164
39,20,36.7,21.43284700405794,0.0,20.361204653855044
39,21,31.63,0.0,0.0,0.0
39,22,29.63,0.0,0.0,0.0
39,23,29.0,0.0,0.0,0.0
39,24,19.54,0.0,0.0,0.0
40,1,18.73,0.0,0.0,0.0
40,2,16.85,0.0,0.0,0.0
40,3,17.03,0.0,0.0,0.0
40,4,16.25,0.0,15.263157894736842,0.0
40,5,15.86,14.5,30.0,0.0
40,6,14.51,43.0,30.0,0.0
40,7,15.61,71.5,30.0,0.0
40,8,16.41,100.0,0.0,0.0
40,9,18.68,100.0,0.0,0.0
40,10,19.91,100.0,0.0,0.0
40,11,19.35,100.0,0.0,0.0
40,12,24.52,100.0,0.0,0.0
40,13,33.65,100.0,0.0,0.0
40,14,54.37,100.0,0.0,0.0
40,15,48.32,100.0,0.0,30.0
40,16,68.58,68.42105263157895,0.0,9.090622904148587
40,17,69.76,58.85197589036991,0.0,8.302643915244703
40,18,47.0,50.11235071642811,0.0,14.278619800064495
40,19,42.09,35.08222461109706,0.0,12.966908726687164
40,20,35.01,21.43284700405794,0.0,20.361204653855044
40,21,31.22,0.0,0.0,0.0
40,22,31.48,0.0,0.0,0.0
40,23,30.59,0.0,0.0,0.0
40,24,23.38,0.0,0.0,0.0
